strain	serotype	genotype	date	region	country	division	locate	host	passage	specimen	additional host information	sequencing technology	assembly method	comment	comment type
EPI_ISL_17437113	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437117	DENV2	III-Asian-American	2006-01-01	North America	Nicaragua	Managua		Human	Original	Serum		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437118	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437120	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437121	DENV2	III-Asian-American	2009-01-01	North America	Nicaragua	Managua		Human	Original	Serum		unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437122	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437123	DENV2	III-Asian-American	2007-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437125	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437130	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437131	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437132	DENV2	III-Asian-American	2005-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence. Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437135	DENV2	III-Asian-American	2007-01-01	North America	Nicaragua	Managua		Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437136	DENV2	III-Asian-American	2004-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437139	DENV2	III-Asian-American	2006-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437144	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437145	DENV2	III-Asian-American	1999-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437146	DENV2	III-Asian-American	1996-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437149	DENV2	III-Asian-American	2005-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437152	DENV2	III-Asian-American	2004-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437156	DENV2	III-Asian-American	2007-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437157	DENV2	III-Asian-American	1996-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437162	DENV2	III-Asian-American	2000-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437167	DENV2	III-Asian-American	2007-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437168	DENV2	III-Asian-American	2007-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437170	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437173	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437174	DENV2	III-Asian-American	1992-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437177	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437178	DENV2	III-Asian-American	1989-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437179	DENV2	III-Asian-American	2001-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437180	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437184	DENV2	III-Asian-American	1987-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437185	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437187	DENV2	III-Asian-American	2002-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437188	DENV2	III-Asian-American	2001-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437189	DENV2	III-Asian-American	1986-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437190	DENV2	III-Asian-American	2001-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437192	DENV2	III-Asian-American	1996-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437193	DENV2	III-Asian-American	2000-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437197	DENV2	III-Asian-American	1998-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437201	DENV2	III-Asian-American	1987-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437203	DENV2	III-Asian-American	1989-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437204	DENV2	III-Asian-American	2005-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown		Insertion of 2 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437206	DENV2	III-Asian-American	1987-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437208	DENV2	III-Asian-American	2005-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437209	DENV2	III-Asian-American	2006-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437210	DENV2	III-Asian-American	2006-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437211	DENV2	III-Asian-American	1993-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437215	DENV2	III-Asian-American	1989-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437221	DENV2	III-Asian-American	2001-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437224	DENV2	III-Asian-American	1990-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437230	DENV2	III-Asian-American	1995-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437232	DENV2	III-Asian-American	2005-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437235	DENV2	III-Asian-American	1989-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437241	DENV2	III-Asian-American	1990-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437243	DENV2	III-Asian-American	1989-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437246	DENV2	III-Asian-American	1995-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437247	DENV2	III-Asian-American	1995-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437249	DENV2	III-Asian-American	2004-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437251	DENV2	III-Asian-American	2005-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437255	DENV2	III-Asian-American	1999-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437256	DENV2	III-Asian-American	2007-01-01	North America	Puerto Rico			Human	Original	Other: Cell supernatant		unknown			
EPI_ISL_17437259	DENV2	V-AsianI	1974-01-01	Asia	Thailand	Bangkok		Human	Original	Other: Human serum		Sanger			
EPI_ISL_17437437	DENV2	IV-AsianII	2014-01-01	Asia	India			Human	Original	Serum		Sanger			
EPI_ISL_17437444	DENV2	IV-AsianII	2014-01-01	Asia	India			Human	Original	Serum		Sanger			
EPI_ISL_17437711	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437712	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437714	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437715	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437717	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437719	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437720	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437722	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437723	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437725	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437726	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437728	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437729	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437730	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437732	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437733	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437735	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437737	DENV2	II-Cosmopolitan	2007-01-01	Asia	Singapore			Human	Original			Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437738	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437739	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437741	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437742	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437744	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437745	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437747	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437748	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437750	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437751	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437753	DENV2	III-Asian-American	1995-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437754	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437756	DENV2	III-Asian-American	1995-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437758	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437759	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437761	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437762	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437764	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437765	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437766	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437768	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437771	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437772	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437774	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437775	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437777	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437778	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437780	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437781	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437783	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437784	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437787	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437789	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437790	DENV2	II-Cosmopolitan	2007-01-01	Asia	Singapore			Human	Original			Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437798	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437799	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437801	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437807	DENV2	II-Cosmopolitan	1975-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437810	DENV2	II-Cosmopolitan	1976-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437811	DENV2	II-Cosmopolitan	1976-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437813	DENV2	II-Cosmopolitan	1976-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437815	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437816	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437817	DENV2	II-Cosmopolitan	2008-01-01	Asia	Singapore			Human	Original			Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437820	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437824	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5	Insertion of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437828	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437831	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437832	DENV2	IV-AsianII	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437834	DENV2	IV-AsianII	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437835	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437837	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437838	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437840	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437841	DENV2	II-Cosmopolitan	2013-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437846	DENV2	II-Cosmopolitan	2012-01-01	Asia	Singapore			Human	Original	Serum		Illumina	Burrows-Wheeler Aligner v. 0.7.5		
EPI_ISL_17437848	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437849	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437851	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437852	DENV2	II-Cosmopolitan	1976-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437854	DENV2	II-Cosmopolitan	1975-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437855	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437857	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437858	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437860	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437861	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown			
EPI_ISL_17437863	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17437864	DENV2	II-Cosmopolitan	1976-01-01	Asia	Indonesia			Human	Original			unknown			
EPI_ISL_17437866	DENV2	III-Asian-American	1994-01-01	North America	Puerto Rico			Human	Original			unknown		Gap of 1 nucleotides when compared to the reference sequence.	info
EPI_ISL_17438467	DENV2	V-AsianI	1974-01-01	Asia	Thailand	Bangkok		Human	Original			unknown			
EPI_ISL_17438698	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438705	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438717	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438719	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438722	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438733	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438740	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438741	DENV2	V-AsianI	1993-01-01	Asia	Thailand			Human	Original			unknown			
EPI_ISL_17438823	DENV2	II-Cosmopolitan	1993-01-01	Oceania	Australia	Queensland	Townsville	Human	Original			unknown			
EPI_ISL_17438824	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438826	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438828	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438829	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438831	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438832	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438834	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438836	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438837	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438839	DENV2	IV-AsianII	2017-01-01	Africa	Kenya			Human	Original			Illumina	CLC Genomics Workbench v. 8.0		
EPI_ISL_17438841	DENV2	IV-AsianII	2015-01-01	Asia	South Korea			Human	Original			Sanger			
EPI_ISL_17438842	DENV2	IV-AsianII	2015-01-01	Asia	South Korea			Human	Original			Sanger			
EPI_ISL_17438844	DENV2	II-Cosmopolitan	2015-01-01	Asia	South Korea			Human	Original			Sanger			
EPI_ISL_17438954	DENV2	IV-AsianII	2014-01-01	Asia	India			Human	Original	Serum		unknown		Stretches of NNNs (5.10%% of overall sequence). 2K without BLAST coverage.	warn
EPI_ISL_17438957	DENV2	IV-AsianII	2013-01-01	Asia	India			Human	Original	Serum		unknown			
EPI_ISL_17439641	DENV2	III-Asian-American	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439642	DENV2	III-Asian-American	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439643	DENV2	III-Asian-American	2002-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439646	DENV2	III-Asian-American	2001-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439647	DENV2	V-AsianI	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439648	DENV2	V-AsianI	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439649	DENV2	III-Asian-American	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439651	DENV2	V-AsianI	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439652	DENV2	III-Asian-American	2003-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439655	DENV2	III-Asian-American	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439656	DENV2	III-Asian-American	2001-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439657	DENV2	III-Asian-American	2005-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439659	DENV2	V-AsianI	2005-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439660	DENV2	III-Asian-American	2002-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439661	DENV2	III-Asian-American	2003-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439662	DENV2	V-AsianI	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439665	DENV2	V-AsianI	2005-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439669	DENV2	III-Asian-American	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439670	DENV2	V-AsianI	2005-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439672	DENV2	III-Asian-American	2004-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439673	DENV2	III-Asian-American	1999-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439675	DENV2	III-Asian-American	2003-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439677	DENV2	III-Asian-American	2003-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439678	DENV2	V-AsianI	2005-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
EPI_ISL_17439679	DENV2	III-Asian-American	2005-01-01	Asia	Vietnam			Human	Original	Other: Blood		unknown			
